scenario,date,cash,position_value,total_equity,turnover,cum_return
ma120_cash_top3,2025-04-10,1.1570580984226889e-07,799917.4277455491,799917.4277456648,0.0,-0.2000825722543351
ma120_cash_top3,2025-04-11,1.157105296617252e-07,837466.8056986785,837466.8056987942,0.0,-0.1625331943012058
ma120_cash_top3,2025-04-14,2.302112989127636e-07,836623.3111351976,836623.3111354278,0.6712418736276945,-0.1633766888645722
ma120_cash_top3,2025-04-15,2.302206895887301e-07,826853.7424459098,826853.74244614,0.0,-0.1731462575538599
ma120_cash_top3,2025-04-16,2.302300806477569e-07,834625.3423827005,834625.3423829308,0.0,-0.1653746576170691
ma120_cash_top3,2025-04-17,2.302394720898595e-07,838828.9853761435,838828.9853763737,0.0,-0.1611710146236262
ma120_cash_top3,2025-04-18,2.302488639150536e-07,830177.4754853706,830177.4754856009,0.0,-0.1698225245143991
ma120_cash_top3,2025-04-21,2.3027704168934125e-07,837203.6949927405,837203.6949929708,0.0,-0.1627963050070292
ma120_cash_top3,2025-04-22,2.302864350470576e-07,835750.4336288151,835750.4336290454,0.0,-0.1642495663709546
ma120_cash_top3,2025-04-23,2.302958287879436e-07,834636.1363239697,834636.1363242,0.0,-0.1653638636758
ma120_cash_top3,2025-04-24,2.3030522291201486e-07,826315.5769651985,826315.5769654288,0.0,-0.1736844230345712
ma120_cash_top3,2025-04-25,2.3031461741928697e-07,823958.5041990677,823958.504199298,0.0,-0.176041495800702
ma120_cash_top3,2025-04-28,1.746811904013157e-07,830743.6547759069,830743.6547760817,1.9820203587878684,-0.1692563452239183
ma120_cash_top3,2025-04-29,1.7468831591802253e-07,828172.6037698949,828172.6037700697,0.0,-0.1718273962299303
ma120_cash_top3,2025-04-30,1.7469544172539026e-07,811149.9516830778,811149.9516832526,0.0,-0.1888500483167474
ma120_cash_top3,2025-05-06,1.7473820267413905e-07,809709.9668140942,809709.966814269,0.0,-0.190290033185731
ma120_cash_top3,2025-05-07,1.7474533051646495e-07,821671.1646643188,821671.1646644935,0.0,-0.1783288353355064
ma120_cash_top3,2025-05-08,1.7475245864954658e-07,830311.7494912673,830311.749491442,0.0,-0.1696882505085579
ma120_cash_top3,2025-05-09,1.7475958707339577e-07,840964.0114128154,840964.0114129902,0.0,-0.1590359885870098
ma120_cash_top3,2025-05-12,2.2134827304398638e-10,843530.6911734464,843530.6911734466,0.0017538067397821,-0.1564693088265534
ma120_cash_top3,2025-05-13,2.2135730218338016e-10,855672.7201805675,855672.7201805677,0.0,-0.1443272798194322
ma120_cash_top3,2025-05-14,2.2136633169108654e-10,863144.5913522465,863144.5913522467,0.0,-0.1368554086477532
ma120_cash_top3,2025-05-15,2.2137536156712055e-10,861819.689441819,861819.6894418192,0.0,-0.1381803105581808
ma120_cash_top3,2025-05-16,2.2138439181149724e-10,853932.442066695,853932.4420666952,0.0,-0.1460675579333048
ma120_cash_top3,2025-05-19,2.2141148475483337e-10,850768.3670046064,850768.3670046066,0.0,-0.1492316329953933
ma120_cash_top3,2025-05-20,2.2142051647273089e-10,853932.442066695,853932.4420666952,0.0,-0.1460675579333048
ma120_cash_top3,2025-05-21,2.2142954855904617e-10,858993.279562962,858993.2795629622,0.0,-0.1410067204370377
ma120_cash_top3,2025-05-22,2.2143858101379426e-10,867079.379293543,867079.3792935433,0.0,-0.1329206207064567
ma120_cash_top3,2025-05-23,2.2144761383699023e-10,859486.3667866203,859486.3667866206,0.0,-0.1405136332133794
ma120_cash_top3,2025-05-26,3.6311575968284155e-10,852370.3738525598,852370.3738525602,0.0010717186627051,-0.1476296261474398
ma120_cash_top3,2025-05-27,3.6313057173791285e-10,857491.4651302954,857491.4651302957,0.0,-0.1425085348697042
ma120_cash_top3,2025-05-28,3.631453843971908e-10,856322.5637430198,856322.5637430202,0.0,-0.1436774362569798
ma120_cash_top3,2025-05-29,3.6316019766070006e-10,855513.1399891747,855513.139989175,0.0,-0.144486860010825
ma120_cash_top3,2025-05-30,3.6317501152846535e-10,862019.504904873,862019.5049048733,0.0,-0.1379804950951266
ma120_cash_top3,2025-06-03,3.6323427304257956e-10,876746.4032132782,876746.4032132785,0.0,-0.1232535967867215
ma120_cash_top3,2025-06-04,3.632490899319946e-10,878382.4523400092,878382.4523400095,0.0,-0.1216175476599904
ma120_cash_top3,2025-06-05,3.6326390742581346e-10,872296.0906984254,872296.0906984258,0.0,-0.1277039093015742
ma120_cash_top3,2025-06-06,3.6327872552406097e-10,873781.1456974879,873781.1456974882,0.0,-0.1262188543025117
ma120_cash_top3,2025-06-09,9.168843462248332e-11,876312.7799248034,876312.7799248035,0.0016636782453321,-0.1236872200751965
ma120_cash_top3,2025-06-10,9.169217473595076e-11,880443.1252778163,880443.1252778164,0.0,-0.1195568747221835
ma120_cash_top3,2025-06-11,9.16959150019832e-11,883152.9918377174,883152.9918377175,0.0,-0.1168470081622825
