date,cash,position_value,total_equity,cum_return
2024-06-04,0.0,923242.5335863656,923242.5335863656,-0.07675746641363435
2024-06-05,0.0,907482.7283163242,907482.7283163242,-0.09251727168367585
2024-06-06,0.0,909872.5378810129,909872.5378810129,-0.09012746211898714
2024-06-07,0.0,914974.3580684055,914974.3580684055,-0.08502564193159445
2024-06-11,0.0,896043.086015948,896043.086015948,-0.10395691398405205
2024-06-12,0.0,899055.1683500926,899055.1683500926,-0.10094483164990742
2024-06-13,0.0,896578.3195667121,896578.3195667121,-0.10342168043328792
2024-06-14,0.0,894552.7072392033,894552.7072392033,-0.10544729276079667
2024-06-17,0.0,884076.443106299,884076.443106299,-0.11592355689370093
2024-06-18,0.0,885974.2470360398,885974.2470360398,-0.11402575296396023
2024-06-19,0.0,887865.5133871139,887865.5133871139,-0.11213448661288605
2024-06-20,0.0,887131.7608729386,887131.7608729386,-0.11286823912706145
2024-06-21,0.0,888532.350501867,888532.350501867,-0.11146764949813304
2024-06-24,0.0,884275.9817302605,884275.9817302605,-0.11572401826973944
2024-06-25,0.0,888552.5841997787,888552.5841997787,-0.11144741580022122
2024-06-26,0.0,889657.5865455908,889657.5865455908,-0.1103424134544092
2024-06-27,0.0,893906.6989334085,893906.6989334085,-0.10609330106659154
2024-06-28,0.0,901513.5808209815,901513.5808209815,-0.09848641917901846
2024-07-01,0.0,912383.1876176842,912383.1876176842,-0.08761681238231578
2024-07-02,0.0,918676.2947821281,918676.2947821281,-0.08132370521787191
2024-07-03,0.0,911942.3270814293,911942.3270814293,-0.0880576729185707
2024-07-04,0.0,912536.7253367226,912536.7253367226,-0.08746327466327741
2024-07-05,0.0,901971.9027831935,901971.9027831935,-0.0980280972168065
2024-07-08,0.0,905704.0603195259,905704.0603195259,-0.09429593968047412
2024-07-09,0.0,913904.9780252104,913904.9780252104,-0.08609502197478958
2024-07-10,0.0,914696.3803718608,914696.3803718608,-0.08530361962813915
2024-07-11,0.0,914665.4533141789,914665.4533141789,-0.08533454668582119
2024-07-12,0.0,927594.3180299576,927594.3180299576,-0.07240568197004238
2024-07-15,0.0,936405.4604225408,936405.4604225408,-0.0635945395774592
2024-07-16,0.0,935167.4671031621,935167.4671031621,-0.06483253289683788
2024-07-17,0.0,939146.8603742749,939146.8603742749,-0.06085313962572514
2024-07-18,0.0,940835.6054998632,940835.6054998632,-0.059164394500136885
2024-07-19,0.0,941545.4714646568,941545.4714646568,-0.058454528535343275
2024-07-22,0.0,929150.4501542493,929150.4501542493,-0.07084954984575065
2024-07-23,0.0,930945.9969714748,930945.9969714748,-0.06905400302852516
2024-07-24,0.0,930905.2689369883,930905.2689369883,-0.06909473106301167
2024-07-25,0.0,922402.5274108555,922402.5274108555,-0.07759747258914451
2024-07-26,0.0,913200.2878132606,913200.2878132606,-0.08679971218673943
2024-07-29,0.0,921081.9027034255,921081.9027034255,-0.07891809729657451
2024-07-30,0.0,916392.199241625,916392.199241625,-0.08360780075837493
2024-07-31,0.0,916978.3140083704,916978.3140083704,-0.08302168599162962
2024-08-01,0.0,916779.6873412376,916779.6873412376,-0.0832203126587624
2024-08-02,0.0,912461.9905791328,912461.9905791328,-0.0875380094208672
2024-08-05,0.0,904446.0557926706,904446.0557926706,-0.09555394420732943
2024-08-06,0.0,894810.8258523779,894810.8258523779,-0.10518917414762208
2024-08-07,0.0,895850.4303770087,895850.4303770087,-0.10414956962299127
2024-08-08,0.0,897959.1517440479,897959.1517440479,-0.10204084825595217
2024-08-09,0.0,902202.0233061138,902202.0233061138,-0.09779797669388623
2024-08-12,0.0,899854.5141738025,899854.5141738025,-0.10014548582619753
2024-08-13,0.0,903829.0856528187,903829.0856528187,-0.09617091434718128
2024-08-14,0.0,903564.8690595594,903564.8690595594,-0.09643513094044054
2024-08-15,0.0,915437.725840633,915437.725840633,-0.08456227415936701
2024-08-16,0.0,926300.4904148538,926300.4904148538,-0.07369950958514626
2024-08-19,0.0,942206.8141016132,942206.8141016132,-0.05779318589838678
2024-08-20,0.0,945439.5580098635,945439.5580098635,-0.05456044199013654
2024-08-21,0.0,938789.5716125114,938789.5716125114,-0.06121042838748858
2024-08-22,0.0,947543.6002488958,947543.6002488958,-0.052456399751104166
2024-08-23,0.0,952855.668596685,952855.668596685,-0.047144331403314976
2024-08-26,0.0,952587.0925833746,952587.0925833746,-0.047412907416625405
2024-08-27,0.0,956566.2048985906,956566.2048985906,-0.043433795101409434
2024-08-28,0.0,949090.7346788036,949090.7346788036,-0.05090926532119644
2024-08-29,0.0,919202.1899002036,919202.1899002036,-0.08079781009979636
2024-08-30,0.0,900092.6005815511,900092.6005815511,-0.09990739941844895
2024-09-02,0.0,895176.2582223263,895176.2582223263,-0.10482374177767373
2024-09-03,0.0,882416.5993157171,882416.5993157171,-0.11758340068428286
2024-09-04,0.0,878678.6161144704,878678.6161144704,-0.1213213838855296
2024-09-05,0.0,879050.3544923923,879050.3544923923,-0.12094964550760767
2024-09-06,0.0,880475.4679236924,880475.4679236924,-0.11952453207630753
2024-09-09,0.0,864778.5263741381,864778.5263741381,-0.1352214736258619
2024-09-10,0.0,870760.6727909346,870760.6727909346,-0.1292393272090654
2024-09-11,0.0,854057.7242058631,854057.7242058631,-0.14594227579413688
2024-09-12,0.0,858538.3709769794,858538.3709769794,-0.14146162902302062
2024-09-13,0.0,857176.6296147904,857176.6296147904,-0.14282337038520954
2024-09-18,5.820766091346741e-11,865428.7212535045,865428.7212535045,-0.13457127874649544
2024-09-19,5.820766091346741e-11,867141.4115646164,867141.4115646165,-0.13285858843538356
2024-09-20,5.820766091346741e-11,873123.108403837,873123.1084038371,-0.1268768915961629
2024-09-23,5.820766091346741e-11,885028.10150671,885028.10150671,-0.11497189849328993
2024-09-24,5.820766091346741e-11,924731.6935233972,924731.6935233972,-0.07526830647660276
2024-09-25,5.820766091346741e-11,941313.4845582145,941313.4845582147,-0.05868651544178538
2024-09-26,5.820766091346741e-11,978953.3549900057,978953.3549900057,-0.021046645009994314
2024-09-27,5.820766091346741e-11,985278.1323705765,985278.1323705765,-0.014721867629423513
2024-09-30,5.820766091346741e-11,1020603.5127951524,1020603.5127951524,0.020603512795152268
2024-10-08,5.820766091346741e-11,1124465.3642523482,1124465.3642523482,0.12446536425234811
2024-10-09,5.820766091346741e-11,1032100.222410794,1032100.2224107941,0.03210022241079402
2024-10-10,5.820766091346741e-11,990688.2465909963,990688.2465909964,-0.009311753409003587
2024-10-11,5.820766091346741e-11,993090.0017975421,993090.0017975422,-0.0069099982024577455
2024-10-14,0.0,1017898.5557136933,1017898.5557136933,0.017898555713693254
2024-10-15,0.0,987603.120868113,987603.120868113,-0.012396879131887029
2024-10-16,0.0,994547.2010887093,994547.2010887093,-0.0054527989112906905
2024-10-17,0.0,995488.1841324745,995488.1841324745,-0.0045118158675254705
2024-10-18,0.0,1064242.9718635273,1064242.9718635273,0.06424297186352734
2024-10-21,0.0,1058463.7244372463,1058463.7244372463,0.058463724437246345
2024-10-22,0.0,1047564.6223881848,1047564.6223881848,0.04756462238818471
2024-10-23,0.0,1041457.6535871283,1041457.6535871283,0.041457653587128274
2024-10-24,0.0,1033413.1665806138,1033413.1665806138,0.033413166580613884
2024-10-25,0.0,1039591.7940016973,1039591.7940016973,0.03959179400169743
2024-10-28,0.0,1047085.8081723992,1047085.8081723992,0.04708580817239927
2024-10-29,0.0,1038334.78574053,1038334.78574053,0.038334785740530064
2024-10-30,0.0,1040549.2619776224,1040549.2619776224,0.04054926197762243
2024-10-31,0.0,1067893.015690181,1067893.015690181,0.06789301569018091
2024-11-01,0.0,1034549.3360921824,1034549.3360921824,0.03454933609218247
2024-11-04,0.0,1073186.7148725544,1073186.7148725544,0.07318671487255446
2024-11-05,0.0,1147241.1129761194,1147241.1129761194,0.1472411129761193
2024-11-06,0.0,1136251.809099211,1136251.809099211,0.13625180909921086
2024-11-07,0.0,1229713.1671427134,1229713.1671427134,0.2297131671427135
2024-11-08,0.0,1194308.9289439132,1194308.9289439132,0.19430892894391327
2024-11-11,0.0,1209444.882637298,1209444.882637298,0.20944488263729788
2024-11-12,0.0,1189805.8967918276,1189805.8967918276,0.1898058967918277
2024-11-13,0.0,1187557.594896937,1187557.594896937,0.18755759489693702
