scenario,date,cash,position_value,total_equity,turnover,cum_return
category_cap1,2025-06-05,2.0217945232629977e-07,835887.1234546672,835887.1234548694,0.0,-0.16411287654513063
category_cap1,2025-06-06,2.0218769953976346e-07,837788.3078609254,837788.3078611277,0.0,-0.16221169213887232
category_cap1,2025-06-09,2.0326115190982819e-07,849112.58822517,849112.5882253733,1.3139193195124341,-0.15088741177462672
category_cap1,2025-06-10,2.0326944324749573e-07,853320.335851528,853320.3358517312,0.0,-0.14667966414826872
category_cap1,2025-06-11,2.032777349233798e-07,853131.8961533586,853131.8961535619,0.0,-0.14686810384643811
category_cap1,2025-06-12,2.0328602693749419e-07,866594.714785858,866594.7147860613,0.0,-0.13340528521393868
category_cap1,2025-06-13,2.0329431928985268e-07,856188.6213248007,856188.6213250039,0.0,-0.14381137867499605
category_cap1,2025-06-16,2.033191983765309e-07,857323.4777061815,857323.4777063847,0.0,-0.14267652229361527
category_cap1,2025-06-17,2.0332749208200384e-07,844635.5705329678,844635.5705331712,0.0,-0.15536442946682882
category_cap1,2025-06-18,2.033357861257899e-07,848103.7050634396,848103.7050636429,0.0,-0.15189629493635703
category_cap1,2025-06-19,2.0334408050790287e-07,841833.9941012318,841833.9941014352,0.0,-0.15816600589856478
category_cap1,2025-06-20,2.0335237522835655e-07,846316.9442260936,846316.944226297,0.0,-0.153683055773703
category_cap1,2025-06-23,5.652509571518749e-09,857972.74056662,857972.7405666257,0.018258009624404138,-0.14202725943337424
category_cap1,2025-06-24,5.652740146151856e-09,862162.8637693916,862162.8637693973,0.0,-0.13783713623060279
category_cap1,2025-06-25,5.6529707301904595e-09,871116.3850871795,871116.3850871852,0.0,-0.12888361491281486
category_cap1,2025-06-26,5.653201323634944e-09,869059.9862541192,869059.9862541249,0.0,-0.13094001374587505
category_cap1,2025-06-27,5.653431926485693e-09,854211.616628895,854211.6166289008,0.0,-0.14578838337109923
category_cap1,2025-06-30,5.654123791479362e-09,858955.2812005561,858955.2812005618,0.0,-0.14104471879943825
category_cap1,2025-07-01,5.654354431959004e-09,869886.5384485489,869886.5384485546,0.0,-0.13011346155144543
category_cap1,2025-07-02,5.65458508184683e-09,869458.982086763,869458.9820867687,0.0,-0.13054101791323125
category_cap1,2025-07-03,5.6548157411432225e-09,874603.5563293406,874603.5563293463,0.0,-0.12539644367065372
category_cap1,2025-07-04,5.655046409848565e-09,886158.1607650651,886158.1607650708,0.0,-0.11384183923492919
category_cap1,2025-07-07,6.105983629822731e-08,891833.9289366298,891833.9289366908,1.3441831314675918,-0.10816607106330922
category_cap1,2025-07-08,6.106232702366065e-08,892591.5952731112,892591.5952731724,0.0,-0.10740840472682767
category_cap1,2025-07-09,6.106481785069455e-08,894428.8997229061,894428.8997229672,0.0,-0.10557110027703287
category_cap1,2025-07-10,6.106730877933314e-08,901354.2473472983,901354.2473473594,0.0,-0.09864575265264053
category_cap1,2025-07-11,6.106979980958058e-08,896896.4893765647,896896.4893766259,0.0,-0.10310351062337408
category_cap1,2025-07-14,6.107727351001742e-08,900442.1156275145,900442.1156275757,0.0,-0.0995578843724243
category_cap1,2025-07-15,6.107976494674169e-08,894070.0057172067,894070.0057172679,0.0,-0.10592999428273209
category_cap1,2025-07-16,6.108225648509552e-08,891716.5092501093,891716.5092501704,0.0,-0.10828349074982957
category_cap1,2025-07-17,6.108474812508307e-08,892038.2340911122,892038.2340911733,0.0,-0.10796176590882678
category_cap1,2025-07-18,6.108723986670848e-08,896856.2406477381,896856.2406477992,0.0,-0.10314375935220077
category_cap1,2025-07-21,2.1740561351180077e-07,899529.2421126121,899529.2421128296,1.328205805975837,-0.10047075788717041
category_cap1,2025-07-22,2.174144818239967e-07,903508.382773142,903508.3827733594,0.0,-0.09649161722664057
category_cap1,2025-07-23,2.1742335049794486e-07,903950.8098976017,903950.8098978192,0.0,-0.09604919010218083
category_cap1,2025-07-24,2.1743221953366e-07,912713.1543830517,912713.1543832691,0.0,-0.08728684561673083
category_cap1,2025-07-25,2.1744108893115684e-07,911131.9650307595,911131.9650309769,0.0,-0.08886803496902307
category_cap1,2025-07-28,2.1746769929448534e-07,924151.6062887197,924151.6062889372,0.0,-0.07584839371106289
category_cap1,2025-07-29,2.1747657013925667e-07,941038.821852729,941038.8218529464,0.0,-0.058961178147053595
category_cap1,2025-07-30,2.1748544134588352e-07,932301.0955987468,932301.0955989643,0.0,-0.06769890440103576
category_cap1,2025-07-31,2.1749431291438064e-07,920440.2317711683,920440.2317713858,0.0,-0.07955976822861421
category_cap1,2025-08-01,2.175031848447628e-07,914178.9390874,914178.9390876174,0.0,-0.08582106091238251
category_cap1,2025-08-04,2.2031599655747414e-07,920689.7845811638,920689.7845813842,1.3139711650792827,-0.07931021541861583
category_cap1,2025-08-05,2.2032498358870886e-07,932217.1778384626,932217.177838683,0.0,-0.06778282216131704
category_cap1,2025-08-06,2.2033397098653852e-07,935145.4253524891,935145.4253527095,0.0,-0.0648545746472905
category_cap1,2025-08-07,2.2034295875097807e-07,924430.0618567775,924430.0618569979,0.0,-0.07556993814300206
category_cap1,2025-08-08,2.203519468820425e-07,920313.1968028217,920313.1968030421,0.0,-0.07968680319695787
category_cap1,2025-08-11,2.2037891347513442e-07,933456.5180513295,933456.5180515499,0.0,-0.06654348194845006
